row_idx,player_szn,szn,PLAYER_ID,PLAYER_NAME,FGA_freq_Spotup_OG,FGA_freq_PRRollMan_OG,FGA_freq_Postup_OG,FGA_freq_Cut_OG,FGA_freq_OffRebound_OG,FGA_freq_PRBallHandler_OG,FGA_freq_Isolation_OG,FGA_freq_OffScreenOrHandoff_OG
3527,David Nwaba 2021,2021,1628021,David Nwaba,0.5,0.07692307692307693,0,0.19230769230769226,0.15384615384615385,0.07692307692307693,0,0
3528,Alfonzo McKinnie 2018,2018,1628035,Alfonzo McKinnie,0.5714285714285715,0,0,0.2142857142857143,0.17857142857142858,0,0,0.03571428571428572
3529,Alfonzo McKinnie 2019,2019,1628035,Alfonzo McKinnie,0.6333333333333333,0,0,0.13333333333333333,0.13333333333333333,0.09999999999999999,0,0
3530,Alfonzo McKinnie 2021,2021,1628035,Alfonzo McKinnie,1,0,0,0,0,0,0,0
3531,Markelle Fultz 2017,2017,1628365,Markelle Fultz,0.29545454545454547,0,0,0.13636363636363633,0,0.4318181818181818,0.13636363636363633,0
3532,Markelle Fultz 2018,2018,1628365,Markelle Fultz,0.21052631578947367,0,0,0.07017543859649122,0.08771929824561403,0.49122807017543857,0,0.14035087719298245
3533,Markelle Fultz 2019,2019,1628365,Markelle Fultz,0.20689655172413793,0,0.022988505747126436,0.0689655172413793,0.022988505747126436,0.5517241379310344,0.022988505747126436,0.10344827586206896
3534,Markelle Fultz 2020,2020,1628365,Markelle Fultz,0.14705882352941177,0,0,0,0,0.7647058823529412,0,0.08823529411764706
3535,Markelle Fultz 2021,2021,1628365,Markelle Fultz,0.1267605633802817,0,0.11267605633802817,0,0,0.6056338028169014,0.08450704225352113,0.07042253521126761
3536,Markelle Fultz 2022,2022,1628365,Markelle Fultz,0.27058823529411763,0,0.0588235294117647,0.08235294117647057,0.0588235294117647,0.4117647058823529,0.07058823529411765,0.047058823529411764
3537,Lonzo Ball 2017,2017,1628366,Lonzo Ball,0.3536585365853659,0,0,0.04878048780487806,0.060975609756097573,0.36585365853658536,0.060975609756097573,0.10975609756097562
3538,Lonzo Ball 2018,2018,1628366,Lonzo Ball,0.3472222222222222,0.04166666666666666,0,0.06944444444444443,0.05555555555555555,0.33333333333333326,0.06944444444444443,0.08333333333333331
3539,Lonzo Ball 2019,2019,1628366,Lonzo Ball,0.4597701149425287,0,0,0.034482758620689655,0.04597701149425288,0.31034482758620696,0.04597701149425288,0.10344827586206896
3540,Lonzo Ball 2020,2020,1628366,Lonzo Ball,0.5096153846153846,0.019230769230769232,0,0.009615384615384616,0.02884615384615384,0.28846153846153844,0.02884615384615384,0.11538461538461539
