ydl,next_ydl,season,punter,pq
66,61,2015,B.Pinion,-0.3522085175547643
82,48,2015,B.Pinion,-0.36897470580072805
74,77,2015,B.Pinion,-0.3822523936589991
60,67,2015,T.Masthay,0.21856381684927428
76,67,2015,T.Masthay,0.20037828480985467
51,72,2015,T.Masthay,0.20336234455909813
69,70,2015,M.Bosher,0.564654702216276
65,71,2015,S.Lechler,0.5908649342640278
79,66,2015,S.Lechler,0.5826773595827826
74,69,2015,M.Bosher,0.5604023943633145
60,82,2015,S.Lechler,0.5865903205337368
40,98,2015,M.Bosher,0.5616562627267089
72,70,2015,S.Lechler,0.5884318468659977
80,75,2015,M.Bosher,0.5731761568645823
56,64,2015,M.Bosher,0.5916905708932123
82,54,2015,M.Bosher,0.563019639463968
71,70,2015,P.McAfee,0.8019222340827582
48,91,2015,B.Anger,0.421090456628064
61,84,2015,P.McAfee,0.7992225090792978
88,52,2015,B.Anger,0.42615444870526126
46,86,2015,B.Anger,0.42310694529166637
40,99,2015,P.McAfee,0.8040639608646739
88,49,2015,B.Anger,0.4197533794974587
77,67,2015,B.Anger,0.41236444325188215
48,90,2015,B.Anger,0.41571910696097303
81,69,2015,P.McAfee,0.8158296292378643
46,85,2015,B.Anger,0.4193521430604989
84,73,2015,P.McAfee,0.8258150574038208
74,93,2015,K.Huber,0.8097771890414114
88,77,2015,D.Colquitt,0.8893276055585093
59,75,2015,K.Huber,0.8447716888555797
43,99,2015,K.Huber,0.8340027563200051
79,63,2015,J.Locke,0.14728334297266643
43,89,2015,J.Locke,0.14899983582865078
98,52,2015,B.Colquitt,0.17829759883864257
94,57,2015,J.Locke,0.15014562668520096
68,84,2015,J.Locke,0.16354767552058067
81,55,2015,B.Colquitt,0.1889396580341339
50,88,2015,J.Locke,0.18036516683814569
51,97,2015,B.Colquitt,0.18165015789201325
76,64,2015,C.Schmidt,-0.2807605842973246
56,96,2015,C.Schmidt,-0.2797442683805657
88,48,2015,B.Wing,-0.17954551289617826
66,94,2015,B.Wing,-0.1853957674057935
81,76,2015,C.Schmidt,-0.2574080183812218
74,70,2015,C.Schmidt,-0.23185171289512188
52,93,2015,B.Wing,-0.15488819944427606
72,71,2015,C.Schmidt,-0.2251787612694285
66,75,2015,B.Wing,-0.14116219485658826
46,93,2015,B.Wing,-0.138574236551947
94,53,2015,C.Schmidt,-0.2198948694557795
53,90,2015,B.Wing,-0.1289147073548887
86,53,2015,B.Wing,-0.11885443320326596
94,43,2015,B.Wing,-0.12046329636714599
71,73,2015,M.Darr,-0.3626041237074086
86,62,2015,M.Darr,-0.3551077787438976
71,76,2015,M.Darr,-0.3424150606460128
72,60,2015,R.Quigley,0.07271538020755826
61,68,2015,M.Darr,-0.3306462228197882
62,76,2015,R.Quigley,0.060473861327746875
67,75,2015,M.Darr,-0.34348043099102626
50,89,2015,M.Darr,-0.33857465887213745
73,37,2015,R.Quigley,0.05852485985358477
86,40,2015,R.Quigley,0.014226454386714459
55,84,2015,R.Quigley,-0.006999378653204588
60,94,2015,M.King,0.24352792524389869
64,94,2015,S.Lanning,-0.061594772804234164
72,88,2015,M.King,0.26457851626469087
73,51,2015,S.Lanning,-0.03425067285719543
86,64,2015,M.King,0.29219643803278567
79,54,2015,M.King,0.30456826049880076
57,75,2015,S.Lanning,-0.05767582249641585
48,90,2015,M.King,0.2923780142330928
88,59,2015,D.Jones,0.8590536177104764
47,98,2015,D.Jones,0.8640463075339035
93,70,2015,T.Way,-0.1912079417609825
65,68,2015,D.Jones,0.8765133059205744
66,30,2015,T.Way,-0.1583869660595587
71,56,2015,T.Way,-0.22131445656921092
74,64,2015,D.Jones,0.8625240512030259
35,80,2015,T.Way,-0.23930737628350743
46,90,2015,D.Jones,0.8549782476521873
90,50,2015,T.Way,-0.24978471295099483
45,90,2015,D.Jones,0.8552965762502043
67,77,2015,D.Butler,0.033911401439106786
76,66,2015,J.Hekker,0.7339167764152864
88,60,2015,J.Hekker,0.7327753309804959
59,83,2015,J.Hekker,0.7398572249635795
78,77,2015,J.Hekker,0.7412753665555198
50,92,2015,J.Hekker,0.758996923886596
92,52,2015,J.Hekker,0.7651621745688222
80,63,2015,J.Hekker,0.7656959922930228
43,93,2015,D.Butler,0.03984583984785861
62,82,2015,D.Butler,0.04736865158834012
43,99,2015,S.Martin,0.23143997566643074
71,62,2015,D.Butler,0.054232052518916184
39,87,2015,S.Martin,0.2467516930838604
78,82,2015,D.Butler,0.04360827661522011
43,88,2015,D.Butler,0.07210723302603197
81,67,2015,S.Martin,0.2437155302143439
63,86,2015,D.Butler,0.0721796741705884
36,89,2015,B.Kern,0.7690083885928796
83,65,2015,C.Schmidt,-0.21047386904372234
48,89,2015,B.Kern,0.7664162084710143
92,65,2015,C.Schmidt,-0.19834029713917156
78,73,2015,C.Schmidt,-0.17403740161834197
55,80,2015,B.Kern,0.7668379463369832
68,47,2015,C.Schmidt,-0.15757053135042404
39,92,2015,B.Kern,0.7596493470382771
57,90,2015,C.Schmidt,-0.19308651986075742
75,71,2015,C.Schmidt,-0.17892388781716168
70,39,2015,B.Kern,0.7613377595290226
68,64,2015,B.Kern,0.7122717713064861
68,69,2015,C.Schmidt,-0.16963806119271405
53,80,2015,P.O'Donnell,-0.3898342637828338
71,91,2015,D.Colquitt,0.9204095545108193
60,95,2015,D.Colquitt,0.9477314601513624
89,54,2015,P.O'Donnell,-0.3930475191091399
72,83,2015,P.O'Donnell,-0.38773515758871835
40,80,2015,D.Colquitt,0.9667188462236244
76,73,2015,P.O'Donnell,-0.3641447310813908
61,86,2015,D.Colquitt,0.9499727983758898
74,74,2015,P.O'Donnell,-0.34959117989664984
70,62,2015,D.Colquitt,0.9569761241667969
54,88,2015,D.Colquitt,0.940461636819229
76,67,2015,D.Colquitt,0.9431418524360748
92,59,2015,S.Koch,0.6938361841705596
58,61,2015,A.Lee,1.0726353632533958
83,69,2015,A.Lee,1.0392372228709317
65,84,2015,S.Koch,0.7049313209287995
47,86,2015,A.Lee,1.0509534902199364
73,61,2015,S.Koch,0.7151249797523195
49,90,2015,A.Lee,1.0449921999810952
75,79,2015,S.Koch,0.7025310791101199
62,95,2015,S.Koch,0.7190721327079859
91,43,2015,A.Lee,1.0461194157378813
63,88,2015,M.King,0.2966277557962581
80,64,2015,B.Colquitt,0.19873377346407203
